Rank,Company,Plan,Estimated Annual Bill,Source,Last Checked
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,23/09/2026 22:51
3,Energia,Smart Data 27%,"€1,483.28",Switcher.ie,23/09/2026 22:51
4,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,23/09/2026 22:51
5,Energia,Smart 24 Hour 30%,"€1,521.58",Switcher.ie,23/09/2026 22:51
6,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,524.60",Switcher.ie,23/09/2026 22:51
7,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,23/09/2026 22:51
8,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,23/09/2026 22:51
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,24/09/2026 04:07
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,24/09/2026 04:07
3,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,24/09/2026 04:07
4,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,524.94",Switcher.ie,24/09/2026 04:07
5,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,24/09/2026 04:07
6,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,24/09/2026 04:07
7,Electric Ireland,Home Electric+ 24 Hour Saver 16%,"€1,554.21",Switcher.ie,24/09/2026 04:07
8,Yuno Energy,1 Year Smart Day/Night/Peak Electricity with Welcome Bonus,"€1,567.88",Switcher.ie,24/09/2026 04:07
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,24/09/2026 11:27
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,24/09/2026 11:27
3,Energia,Smart Data 27%,"€1,483.59",Switcher.ie,24/09/2026 11:27
4,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,24/09/2026 11:27
5,Energia,Smart 24 Hour 30%,"€1,521.75",Switcher.ie,24/09/2026 11:27
6,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,524.94",Switcher.ie,24/09/2026 11:27
7,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,24/09/2026 11:27
8,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,24/09/2026 11:27
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,24/09/2026 16:53
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,24/09/2026 16:53
3,Energia,Smart Data 27%,"€1,483.59",Switcher.ie,24/09/2026 16:53
4,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,24/09/2026 16:53
5,Energia,Smart 24 Hour 30%,"€1,521.75",Switcher.ie,24/09/2026 16:53
6,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,524.94",Switcher.ie,24/09/2026 16:53
7,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,24/09/2026 16:53
8,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,24/09/2026 16:53
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,24/09/2026 21:22
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,24/09/2026 21:22
3,Energia,Smart Data 27%,"€1,483.59",Switcher.ie,24/09/2026 21:22
4,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,24/09/2026 21:22
5,Energia,Smart 24 Hour 30%,"€1,521.75",Switcher.ie,24/09/2026 21:22
6,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,524.94",Switcher.ie,24/09/2026 21:22
7,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,24/09/2026 21:22
8,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,24/09/2026 21:22
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,25/09/2026 00:23
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,25/09/2026 00:23
3,Energia,Smart Data 27%,"€1,483.91",Switcher.ie,25/09/2026 00:23
4,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,25/09/2026 00:23
5,Energia,Smart 24 Hour 30%,"€1,521.91",Switcher.ie,25/09/2026 00:23
6,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,525.27",Switcher.ie,25/09/2026 00:23
7,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,25/09/2026 00:23
8,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,25/09/2026 00:23
